,English Paragraph,Chinese Paragraph
33,Intermediaries should take note of this restriction. ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
34,"SFC authorization is not a recommendation or endorsement of the Fund or the Portfolios nor does it guarantee the commercial 
merits of the Fund or any Portfolio or its performance. It does not mean the Fund and the Portfolios are suitable for all investors 
nor is it an endorsement of its suitability for any particular investor or class of investors.   ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
35,- 3 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
36," 
 
 
 
 
 
 
 
The following classes of shares are offered to the public of Hong Kong1:  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
37,1.  Dynamic Diversified Portfolio ,1.  全方位領航基金  
38,"Class A Shares 
Class AX Shares# 
Class BX Shares# 
Class C Shares ","A 類美元、A 類歐元、A 類 H 歐元 
AX 類美元、AX 類歐元 
BX 類美元 
C 類美元、C 類歐元 "
39,"A USD, A EUR, A EUR H 
AX USD, AX EUR  
BX USD 
C USD, C EUR  ","A 類美元、A 類歐元、A 類 H 歐元 
AX 類美元、AX 類歐元 
BX 類美元 
C 類美元、C 類歐元 "
40,2.  Global Equity Blend Portfolio ,2.  環球股票策略基金  
41,"Class A Shares 
Class B Shares* 
Class C Shares ","美元計價股份類別 
A 類股份 
B 類股份 
C 類股份 
I 類股份 
S1 類股份 "
42,"A USD, A EUR 
B USD 
C USD, C EUR ","美元計價股份類別 
A 類股份 
B 類股份 
C 類股份 
I 類股份 
S1 類股份 "
43,3.  Emerging Markets Growth Portfolio ,3.  新興市場增長基金 
44,"Class A Shares 
Class B Shares* 
Class C Shares 
Class I Shares ","美元計價股份類別 
A 類及 AD 類股份 
B 類股份 
C 類股份 
I 類股份 
S 類股份 
S1 類股份 "
45,"A USD, A EUR, A HKD, A SGD, A AUD H, A SGD H 
B USD 
C USD, C EUR, C AUD H  
I USD, I EUR, I AUD H  ","A 類美元、A 類歐元、A 類港元、AD 類美元、AD 類港元、AD 類 H 澳
元、AD 類 H 加元、AD 類 H 歐元、AD 類 H 英鎊、AD 類 H 紐西蘭元、
AD 類 H 新加坡元 
B 類美元、B 類歐元 
C 類美元、C 類歐元 
I 類美元、I 類歐元 "
46,4.  Asia Ex-Japan Equity Portfolio ,4.  亞洲（日本以外）股票基金  
47,Class A Shares ,"美元計價股份類別 
A 類股份 "
48,"Class C Shares 
Class I Shares ","B 類股份* 
C 類股份 
I 類股份 "
49,"A USD,  A EUR,  A HKD, AD USD, AD EUR, AD HKD, A AUD H, A 
SGD H, AD AUD H, AD CAD H, AD EUR H, AD GBP H, AD NZD H, 
AD SGD H 
C USD, C EUR, C AUD H  
I USD, I EUR, ID USD, I AUD H, ID AUD H  ","A 類日圓、A 類歐元、A 類新加坡元、 A 類美元、 AD 類日圓、A 類 H 澳
元、A 類 H 歐元、A 類 H 紐西蘭元、 A 類 H 新加坡元、A 類 H 美元、AD
類 H 澳元、AD 類 H 紐西蘭元、AD 類 H 新加坡元、AD 類 H 美元 
C 類日圓、C 類歐元、 C 類美元、C 類 H 歐元 
I 類日圓、I 類歐元、I 類新加坡元、 I 類美元、I 類 H 歐元、I 類 H 美元 
S 類日圓、 S1 類歐元、S1 類美元、S 類 H 歐元、S1 類 H 美元 "
50,5.  Japan Strategic Value Portfolio ,5.  日本策略價值基金  
51,Class A Shares ,"美元計價股份類別 
A 類股份 "
52,"Class C Shares 
Class I Shares 
Class S and S1 Shares ","美元計價股份類別 
A 類股份 
B 類股份 
C 類股份 
I 類股份 
S1 類股份 "
53,6.  China Low Volatility Equity Portfolio ,6.  中國低波幅策略股票基金 
54,Class A Shares ,"美元計價股份類別 
A 類股份 "
55,"Class B Shares* 
Class C Shares 
Class I Shares ","美元計價股份類別 
A 類股份 
B 類股份 
C 類股份 
I 類股份 
S1 類股份 "
56,7.  Short Duration Bond Portfolio ,7.  短期債券基金 
57,Class A Shares ,"美元計價股份類別 
A 類股份 "
58,"A JPY, A EUR, A SGD, A USD, AD JPY, A AUD H, A EUR H, A NZD 
H, A SGD H, A USD H, AD AUD H, AD NZD H, AD SGD H, AD USD 
H  
C JPY, C EUR, C USD, C EUR H  
I JPY, I EUR, I SGD, I USD, I EUR H, I USD H  
S JPY, S1 EUR, S1 USD, S EUR H,  S1 USD H   ","A 類日圓、A 類歐元、A 類新加坡元、 A 類美元、 AD 類日圓、A 類 H 澳
元、A 類 H 歐元、A 類 H 紐西蘭元、 A 類 H 新加坡元、A 類 H 美元、AD
類 H 澳元、AD 類 H 紐西蘭元、AD 類 H 新加坡元、AD 類 H 美元 
C 類日圓、C 類歐元、 C 類美元、C 類 H 歐元 
I 類日圓、I 類歐元、I 類新加坡元、 I 類美元、I 類 H 歐元、I 類 H 美元 
S 類日圓、 S1 類歐元、S1 類美元、S 類 H 歐元、S1 類 H 美元 "
59,"A USD, A EUR, A HKD, AD USD, AD HKD, AD AUD H, AD CAD H, 
AD EUR H, AD GBP H, AD NZD H, AD SGD H 
B USD, B EUR  
C USD, C EUR  
I USD, I EUR  ","A 類日圓、A 類歐元、A 類新加坡元、 A 類美元、 AD 類日圓、A 類 H 澳
元、A 類 H 歐元、A 類 H 紐西蘭元、 A 類 H 新加坡元、A 類 H 美元、AD
類 H 澳元、AD 類 H 紐西蘭元、AD 類 H 新加坡元、AD 類 H 美元 
C 類日圓、C 類歐元、 C 類美元、C 類 H 歐元 
I 類日圓、I 類歐元、I 類新加坡元、 I 類美元、I 類 H 歐元、I 類 H 美元 
S 類日圓、 S1 類歐元、S1 類美元、S 類 H 歐元、S1 類 H 美元 "
60,"A USD, A EUR, A2 USD, A2 EUR, A2 HKD, AT USD, AT EUR, AT 
HKD, AA USD, AA HKD, A2 EUR H, A2 SGD H, AT AUD H, AT CAD ","A 類美元、A2 類美元、A2 類歐元、A2 類港元、 A2 類新加坡元、 AT 類
美元、AT 類歐元、AT 類港元、  AT 類新加坡元、AA 類美元、AA 類港
元、 AT 類 H 澳元、 AT 類 H 加元、 AT 類 H 歐元、AT 類 H 英鎊、 AT 類
H 紐西蘭元、AT 類 H 新加坡元、AA 類 H 澳元、 AA 類 H 加元、 AA 類 H
歐元、  AA 類 H 英鎊、AA 類 H 紐西蘭元、AA 類 H 人民幣、  AA 類 H 新
加坡元 
AX 類美元、AX 類歐元、A2X 類美元、A2X 類歐元 
BX 類美元、BX 類歐元 
C 類美元、C2 類美元、C2 類歐元 
CX 類美元 
I 類美元、I 類歐元、I2 類美元、I2 類歐元 
IX 類美元、I2X 類美元 "
61,"1 Different minimum investment and additional investment limits apply to different classes of shares denominated in different 
currencies.  Investors  should  refer  to  the  Prospectus  for  details.  Classes  S  and  S1  Shares  are  reserved  for  institutional 
investors.  ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
62,- 4 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
63," 
 
 
 
                                                                        
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Class B Shares* 
Class C Shares 
Class I Shares 
Class S and S1 Shares ","美元計價股份類別 
A 類及 AD 類股份 
B 類股份 
C 類股份 
I 類股份 
S 類股份 
S1 類股份 "
64,8.  Global High Yield Portfolio ,8.  環球高收益基金  
65,Class A Shares ,"美元計價股份類別 
A 類股份 "
66,"Class B Shares* 
Class C Shares 
Class I Shares ","美元計價股份類別 
A 類股份 
B 類股份 
C 類股份 
I 類股份 
S1 類股份 "
67,"Class S1 Shares 
Class W Shares ","S1 類股份 
W 類股份 9 "
68,9.  American Income Portfolio ,9.  美元收益基金  
69,Class A Shares ,"美元計價股份類別 
A 類股份 "
70,"Class B Shares* 
Class C Shares 
Class I Shares ","美元計價股份類別 
A 類股份 
B 類股份 
C 類股份 
I 類股份 
S1 類股份 "
71,Class W Shares ,"S1 類股份 
W 類股份 "
72,10. European Income Portfolio  ,10.  歐洲收益基金  
73,Class A Shares ,"美元計價股份類別 
A 類股份 "
74,"Class B Shares* 
Class C Shares 
Class I Shares ","美元計價股份類別 
A 類股份 
B 類股份 
C 類股份 
I 類股份 
S1 類股份 "
75,11. Emerging Markets Debt Portfolio ,11.  新興市場債券基金  
76,Class A Shares ,"美元計價股份類別 
A 類股份 "
77,"Class B Shares* 
Class C Shares 
Class I Shares 
Class S and S1 Shares ","美元計價股份類別 
A 類及 AD 類股份 
B 類股份 
C 類股份 
I 類股份 
S 類股份 
S1 類股份 "
78,"H, AT EUR H, AT GBP H, AT NZD H, AT SGD H, AA AUD H, AA CAD 
H, AA GBP H, AA NZD H, AA SGD H 
B USD  
C USD, C2 USD, C2 EUR H  
I2 USD, I2 EUR, IT USD, I2 AUD H, I2 EUR H, IT AUD H  
S USD, S EUR H, S1 EUR H  ","歐元對沖股份類別 
A2 類 H 歐元股份及 
AT 類 H 歐元股份 
AK 類 H 歐元股份 
AA 類 H 歐元股份 
AR 類 H 歐元股份 
C2 類 H 歐元股份及 
CT 類 H 歐元股份 
CK 類 H 歐元股份 
I2 類 H 歐元股份 
IT 類 H 歐元股份 
S 類 H 歐元股份 
S1 類 H 歐元股份 
S1QD 類 H 歐元股份 
WT 類 H 歐元股份 
W2 類 H 歐元股份 "
79,"A USD, A EUR,  A2 USD, A2 EUR,  A2 HKD, A2 SGD, AT USD, AT 
EUR,  AT HKD, AT SGD,  AA USD, AA HKD, A2 EUR H, A2 SGD H, 
AT AUD H, AT CAD H, AT EUR H, AT GBP H, AT NZD H, AT RMB H, 
AT SGD H, AA AUD H, AA CAD H, AA EUR H, AA GBP H, AA NZD 
H, AA RMB H, AA SGD H, AA ZAR H 
B USD, B2 USD, BT USD, BT AUD H 
C USD, C EUR, C2 USD, C2 EUR, CT USD, C2 EUR H 
I2 USD, I2 EUR, I2 SGD, IT USD, IT HKD, I2 AUD H, I2 EUR H, I2 
RMB H, I2 SGD H, IT AUD H, IT CAD H,  IT EUR H, IT GBP H, IT 
NZD H, IT RMB H, IA AUD H  
S1 USD, S1 EUR  
WT USD  ","A 類美元、A 類歐元、  A2 類美元、A2 類歐元、  A2 類港元、A2 類新加
坡元、  AT 類美元、AT 類歐元、  AT 類港元、AT 類新加坡元、  AA 類美
元、AA 類港元、A2 類 H 歐元、A2 類 H 新加坡元、AT 類 H 澳元、AT 類
H 加元、AT 類 H 歐元、AT 類 H 英鎊、AT 類 H 紐西蘭元、AT 類 H 人民
幣、AT 類 H 新加坡元、AA 類 H 澳元、AA 類 H 加元、AA 類 H 歐元、
AA 類 H 英鎊、AA 類 H 紐西蘭元、AA 類 H 人民幣、AA 類 H 新加坡元、
AA 類 H 南非蘭特 
B 類美元、B2 類美元、BT 類美元 
C 類美元、C 類歐元、C2 類美元、C2 類歐元、CT 類美元、  C2 類 H 歐
元 
I 類美元、I 類歐元、 I2 類美元、I2 類歐元、 I2 類港元、I2 類新加坡元、
IT 類美元、IT 類港元、 IT 類新加坡元、 IA 類美元、 I2 類 H 歐元、I2 類
H 新加坡元、IT 類 H 澳元、  IT 類 H 加元、IT 類 H 歐元、IT 類 H 英鎊、
IT 類 H 紐西蘭元、IT 類 H 人民幣、 IT 類 H 新加坡元、IA 類 H 澳元 
W2 類美元、WT 類美元、WT 類港元、WT 類 H 英鎊、WT 類 H 新加坡
元 "
80,"A USD, A EUR,  A2 USD,  A2 EUR,  A2 HKD, A2 SGD,  AT USD, AT 
EUR, AT HKD,  AT SGD, AA USD, AA HKD,  A2 EUR H, A2 SGD H,  
AT AUD H, AT CAD H, AT EUR H,  AT GBP H, AT NZD H, AT RMB H, 
AT SGD H, AA AUD H, AA CAD H, AA EUR H, AA GBP H, AA NZD 
H, AA RMB H, AA SGD H, AA ZAR H 
B USD,  B2 USD, BT USD  
C USD, C EUR, C2 USD, C2 EUR, CT USD, C2 EUR H 
I USD, I EUR, I2 USD, I2 EUR, I2 HKD, I2 SGD, IT USD, IT HKD,  IT 
SGD, IA USD, I2 EUR H, I2 SGD H, IT AUD H,  IT CAD H, IT EUR H, 
IT GBP H, IT NZD H, IT RMB H, IT SGD H, IA AUD H  
W2 USD, WT USD, WT HKD, WT GBP H, WT SGD H ","A 類美元、A 類歐元、  A2 類美元、A2 類歐元、  A2 類港元、A2 類新加
坡元、  AT 類美元、AT 類歐元、  AT 類港元、AT 類新加坡元、  AA 類美
元、AA 類港元、A2 類 H 歐元、A2 類 H 新加坡元、AT 類 H 澳元、AT 類
H 加元、AT 類 H 歐元、AT 類 H 英鎊、AT 類 H 紐西蘭元、AT 類 H 人民
幣、AT 類 H 新加坡元、AA 類 H 澳元、AA 類 H 加元、AA 類 H 歐元、
AA 類 H 英鎊、AA 類 H 紐西蘭元、AA 類 H 人民幣、AA 類 H 新加坡元、
AA 類 H 南非蘭特 
B 類美元、B2 類美元、BT 類美元 
C 類美元、C 類歐元、C2 類美元、C2 類歐元、CT 類美元、  C2 類 H 歐
元 
I 類美元、I 類歐元、 I2 類美元、I2 類歐元、 I2 類港元、I2 類新加坡元、
IT 類美元、IT 類港元、 IT 類新加坡元、 IA 類美元、 I2 類 H 歐元、I2 類
H 新加坡元、IT 類 H 澳元、  IT 類 H 加元、IT 類 H 歐元、IT 類 H 英鎊、
IT 類 H 紐西蘭元、IT 類 H 人民幣、 IT 類 H 新加坡元、IA 類 H 澳元 
W2 類美元、WT 類美元、WT 類港元、WT 類 H 英鎊、WT 類 H 新加坡
元 "
81,"A EUR, A USD,  A2 EUR, A2 USD,  AT EUR, AT USD, AA EUR,  A2 
SGD H, A2 USD H, AT AUD H, AT GBP H, AT SGD H, AT USD H, AA 
AUD H, AA HKD H, AA RMB H, AA SGD H, AA USD H 
B USD, B2 EUR, B2 USD 
C EUR, C USD, C2 EUR, C2 USD, C2 USD H, CT USD H  
I2 EUR, I2 USD, IT EUR, IA EUR, I2 AUD H, I2 USD H, IT SGD H, IT 
USD H,  IA HKD H, IA SGD H, IA USD H ","A 類歐元、A 類美元、 A2 類歐元、A2 類美元、 AT 類歐元、AT 類美元、
AA 類歐元、  A2 類 H 新加坡元、A2 類 H 美元、 AT 類 H 澳元、AT 類 H
英鎊、AT 類 H 新加坡元、AT 類 H 美元、AA 類 H 澳元、AA 類 H 港元、
AA 類 H 人民幣、AA 類 H 新加坡元、AA 類 H 美元 
B 類美元、B2 類歐元、B2 類美元 
C 類歐元、C 類美元、C2 類歐元、C2 類美元、C2 類 H 美元、CT 類 H
美元 
I2 類歐元、I2 類美元、IT 類歐元、  IA 類歐元、I2 類 H 澳元、I2 類 H 美
元、IT 類 H 新加坡元、 IT 類 H 美元、 IA 類 H 港元、IA 類 H 新加坡元、
IA 類 H 美元 "
82,"A USD, A EUR,  A2 USD, A2 EUR, A2 HKD, AT USD, AT EUR, AT 
HKD, AA USD, AA HKD,  A2 EUR H, A2 SGD H, AT AUD H, AT CAD 
H,  AT EUR H, AT GBP H, AT NZD H, AT SGD H, AA AUD H, AA CAD 
H, AA EUR H, AA GBP H, AA NZD H, AA SGD H, AA ZAR H  
BT USD 
C USD, C EUR, C2 USD, C2 EUR, CT USD, C2 EUR H 
I2 USD, I2 EUR, I2 EUR H, IT AUD H, IT SGD H 
S USD, S EUR H, S GBP H, S1 EUR H, S1 GBP H ","A 類美元、A 類歐元、 A2 類美元、A2 類歐元、A2 類港元、 AT 類美元、
AT 類歐元、AT 類港元、AA 類美元、AA 類港元、  A2 類 H 歐元、A2 類
H 新加坡元、AT 類 H 澳元、    AT 類 H 加元、AT 類 H 歐元、  AT 類 H 英
鎊、  AT 類 H 紐西蘭元、AT 類 H 新加坡元、AA 類 H 澳元、AA 類 H 加
元、AA 類 H 歐元、AA 類 H 英鎊、AA 類 H 紐西蘭元、AA 類 H 新加坡
元、AA 類 H 南非蘭特 
BT 類美元 
C 類美元、C 類歐元、C2 類美元、C2 類歐元、CT 類美元、  C2 類 H 歐
元 
I2 類美元、I2 類歐元、I2 類 H 歐元、IT 類 H 澳元、IT 類 H 新加坡元 
S 類美元、S 類 H 歐元、S 類 H 英鎊、S1 類 H 歐元、S1 類 H 英鎊 "
83,- 5 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
84," 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
12. Mortgage Income Portfolio ",12.  按揭收益基金 
85,Class A Shares ,"美元計價股份類別 
A 類股份 "
86,"Class AX and A2X Shares# 
Class BX Shares# 
Class C Shares 
Class CX Shares# 
Class I Shares 
Class IX and I2X Shares# ","美元計價股份類別 
A 類及 A2 類股份 
AT 類股份 
AA 類股份 
C 類及 C2 類股份 
EA 類股份 
I 類及 I2 類股份 
N2 類股份 
NT 類股份 
S 類股份 
S1 類股份 
SA 類股份 
AX 類及 A2X 類股份 
ATX 類股份 
BX 類股份 
CX 類及 C2X 類股份 
IX 類及 I2X 類股份 
S1X 類股份 
ZT 類股份 "
